acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.996,['Ignacio Corsini'],0.675,145973,0.127,0.0311,3,0.102,-21.612,1,Destellos - Remasterizado,0,14-05-1928,0.226,129.587,0.516,1928
0.987,"['Samuel Barber', 'Vladimir Horowitz']",0.242,115627,0.149,0.877,0,0.134,-26.742,1,"Piano Sonata in E-Flat Minor, Op. 26: II. Allegro vivace e leggero",0,1928,0.0369,88.188,0.279,1928
0.99,"['Frédéric Chopin', 'Vladimir Horowitz']",0.444,104013,0.0431,0.889,1,0.124,-26.77,1,"Étude in G-Flat Major, Op. 10, No. 5 ""Black Keys""",1,1928,0.041,106.062,0.404,1928
0.725,['Seweryn Goszczyński'],0.791,107800,0.234,0,8,0.152,-17.951,1,Chapter 2.16 - Zamek kaniowski,0,1928,0.947,37.596,0.705,1928
0.99,"['Frédéric Chopin', 'Vladimir Horowitz']",0.272,473227,0.281,0.867,10,0.087,-16.228,0,"Piano Sonata No. 2, Op. 35: I. Grave - Doppio movimento",0,1928,0.0365,99.27,0.0775,1928
0.993,"['Francisco Canaro', 'Charlo']",0.466,204000,0.161,0.764,6,0.118,-13.007,0,Always - Remasterizado,0,25-09-1928,0.0576,75.24,0.447,1928
0.989,"['Frédéric Chopin', 'Vladimir Horowitz']",0.28,254107,0.0463,0.873,11,0.0743,-19.78,1,"Nocturne in E Minor, Op. 72, No. 1",1,1928,0.0347,100.131,0.0722,1928
0.995,"['Robert Schumann', 'Vladimir Horowitz']",0.389,94307,0.263,0.914,5,0.128,-15.034,0,"Sonata No. 3, Op. 14: III: Variation II",0,1928,0.0354,73.981,0.188,1928
0.993,['Paul Whiteman'],0.523,202173,0.0867,0.124,10,0.14,-17.528,1,Reaching for Someone (And Not Finding Anyone There),1,1928,0.0707,161.687,0.697,1928
0.918,['Leroy Carr'],0.754,184840,0.194,4.34E-05,3,0.188,-11.634,1,Midnight Hour Blues,1,1928,0.053,84.042,0.454,1928
0.992,"['Frédéric Chopin', 'Vladimir Horowitz']",0.301,785427,0.0823,0.852,1,0.087,-23.282,1,"Polonaise-Fantaisie in A-Flat Major, Op. 61",0,1928,0.0382,137.296,0.0548,1928
0.993,"['Frédéric Chopin', 'Vladimir Horowitz']",0.409,318267,0.0224,0.908,1,0.13,-18.234,1,"Nocturne in C-Sharp Minor, Op. 27, No. 1 - 2001 Remastered",1,1928,0.0441,126.458,0.0655,1928
0.995,"['Alexander Scriabin', 'Vladimir Horowitz']",0.411,97627,0.211,0.876,2,0.106,-16.423,0,"Preludes: Op. 59, No. 2",0,1928,0.0489,79.812,0.119,1928
0.992,"['Dmitry Kabalevsky', 'Vladimir Horowitz']",0.266,350373,0.242,0.915,10,0.154,-19.283,0,"Sonata No. 3, Op. 46: I. Allegro con moto",0,1928,0.0314,86.437,0.114,1928
0.777,['Seweryn Goszczyński'],0.748,110200,0.295,0,9,0.122,-16.945,1,Chapter 3.14 - Zamek kaniowski,0,1928,0.94,114.431,0.717,1928
0.994,['Francisco Canaro'],0.79,160000,0.171,0.0562,5,0.116,-13.993,1,¿Te Acuerdas Mamita? - Instrumental (Remasterizado),0,20-09-1928,0.221,121.646,0.856,1928
0.995,['Ignacio Corsini'],0.579,136160,0.33,0.94,1,0.108,-20.558,1,Quema Esas Cartas - Remasterizado,0,14-05-1928,0.055,134.545,0.89,1928
0.995,"['Robert Schumann', 'Vladimir Horowitz']",0.316,76960,0.191,0.914,10,0.101,-16.249,0,"Sonata No. 3, Op. 14: III: Variation III",0,1928,0.0389,109.331,0.18,1928
0.991,"['Frédéric Chopin', 'Vladimir Horowitz']",0.245,340973,0.0577,0.882,5,0.0704,-24.98,0,"Nocturne F Minor, Op. 55, No. 1",0,1928,0.0328,74.004,0.105,1928
